,carat,cut,color,clarity,depth,table,price,x,y,z
1,0.23,Ideal,5,2,61.5,55.0,326,3.95,0.23,0.23
2,0.21,Premium,5,3,59.8,61.0,326,3.89,0.21,0.21
3,0.23,Good,5,5,56.9,65.0,327,4.05,0.23,0.23
4,0.29,Premium,1,4,62.4,58.0,334,4.2,0.29,0.29
5,0.31,Good,0,2,63.3,58.0,335,4.34,0.31,0.31
6,0.24,Very Good,0,6,62.8,57.0,336,3.94,0.24,0.24
7,0.24,Very Good,1,7,62.3,57.0,336,3.95,0.24,0.24
8,0.26,Very Good,2,3,61.9,55.0,337,4.07,0.26,0.26
9,0.22,Fair,5,4,65.1,61.0,337,3.87,0.22,0.22
10,0.23,Very Good,2,5,59.4,61.0,338,4.0,0.23,0.23
11,0.3,Good,0,3,64.0,55.0,339,4.25,0.3,0.3
12,0.23,Ideal,0,5,62.8,56.0,340,3.93,0.23,0.23
13,0.22,Premium,4,3,60.4,61.0,342,3.88,0.22,0.22
14,0.31,Ideal,0,2,62.2,54.0,344,4.35,0.31,0.31
15,0.2,Premium,5,2,60.2,62.0,345,3.79,0.2,0.2
16,0.32,Premium,5,1,60.9,58.0,345,4.38,0.32,0.32
17,0.3,Ideal,1,2,62.0,54.0,348,4.31,0.3,0.3
18,0.3,Good,0,3,63.4,54.0,351,4.23,0.3,0.3
19,0.3,Good,0,3,63.8,56.0,351,4.23,0.3,0.3
20,0.3,Very Good,0,3,62.7,59.0,351,4.21,0.3,0.3
21,0.3,Good,1,2,63.3,56.0,351,4.26,0.3,0.3
22,0.23,Very Good,5,4,63.8,55.0,352,3.85,0.23,0.23
23,0.23,Very Good,2,5,61.0,57.0,353,3.94,0.23,0.23
24,0.31,Very Good,0,3,59.4,62.0,353,4.39,0.31,0.31
25,0.31,Very Good,0,3,58.1,62.0,353,4.44,0.31,0.31
26,0.23,Very Good,3,6,60.4,58.0,354,3.97,0.23,0.23
27,0.24,Premium,1,5,62.5,57.0,355,3.97,0.24,0.24
28,0.3,Very Good,0,4,62.2,57.0,357,4.28,0.3,0.3
29,0.23,Very Good,6,4,60.5,61.0,357,3.96,0.23,0.23
30,0.23,Very Good,4,5,60.9,57.0,357,3.96,0.23,0.23
31,0.23,Very Good,4,5,60.0,57.0,402,4.0,0.23,0.23
32,0.23,Very Good,4,5,59.8,57.0,402,4.04,0.23,0.23
33,0.23,Very Good,5,5,60.7,59.0,402,3.97,0.23,0.23
34,0.23,Very Good,5,5,59.5,58.0,402,4.01,0.23,0.23
35,0.23,Very Good,6,5,61.9,58.0,402,3.92,0.23,0.23
36,0.23,Good,4,5,58.2,59.0,402,4.06,0.23,0.23
37,0.23,Good,5,5,64.1,59.0,402,3.83,0.23,0.23
38,0.31,Good,2,3,64.0,54.0,402,4.29,0.31,0.31
39,0.26,Very Good,6,4,60.8,59.0,403,4.13,0.26,0.26
40,0.33,Ideal,1,2,61.8,55.0,403,4.49,0.33,0.33
41,0.33,Ideal,1,2,61.2,56.0,403,4.49,0.33,0.33
42,0.33,Ideal,0,3,61.1,56.0,403,4.49,0.33,0.33
43,0.26,Good,6,4,65.2,56.0,403,3.99,0.26,0.26
44,0.26,Good,6,5,58.4,63.0,403,4.19,0.26,0.26
45,0.32,Good,2,2,63.1,56.0,403,4.34,0.32,0.32
46,0.29,Premium,4,3,62.4,58.0,403,4.24,0.29,0.29
47,0.32,Very Good,2,2,61.8,55.0,403,4.35,0.32,0.32
48,0.32,Good,2,2,63.8,56.0,403,4.36,0.32,0.32
49,0.25,Very Good,5,4,63.3,60.0,404,4.0,0.25,0.25
50,0.29,Very Good,2,2,60.7,60.0,404,4.33,0.29,0.29
51,0.24,Very Good,4,3,60.9,61.0,404,4.02,0.24,0.24
52,0.23,Ideal,3,5,61.9,54.0,404,3.93,0.23,0.23
53,0.32,Ideal,1,3,60.9,55.0,404,4.45,0.32,0.32
54,0.22,Premium,5,4,61.6,58.0,404,3.93,0.22,0.22
55,0.22,Premium,6,4,59.3,62.0,404,3.91,0.22,0.22
56,0.3,Ideal,1,2,61.0,59.0,405,4.3,0.3,0.3
57,0.3,Premium,0,2,59.3,61.0,405,4.43,0.3,0.3
58,0.3,Very Good,1,3,62.6,57.0,405,4.25,0.3,0.3
59,0.3,Very Good,1,3,63.0,57.0,405,4.28,0.3,0.3
60,0.3,Good,1,3,63.2,55.0,405,4.25,0.3,0.3
61,0.35,Ideal,1,5,60.9,57.0,552,4.54,0.35,0.35
62,0.3,Premium,6,3,62.6,59.0,552,4.23,0.3,0.3
63,0.3,Ideal,6,3,62.5,57.0,552,4.29,0.3,0.3
64,0.3,Ideal,6,3,62.1,56.0,552,4.3,0.3,0.3
65,0.42,Premium,1,2,61.5,59.0,552,4.78,0.42,0.42
66,0.28,Ideal,3,6,61.4,56.0,553,4.19,0.28,0.28
67,0.32,Ideal,1,7,62.0,55.3,553,4.39,0.32,0.32
68,0.31,Very Good,3,3,63.3,57.0,553,4.33,0.31,0.31
69,0.31,Premium,3,3,61.8,58.0,553,4.35,0.31,0.31
70,0.24,Premium,5,7,60.7,58.0,553,4.01,0.24,0.24
71,0.24,Very Good,6,7,61.5,60.0,553,3.97,0.24,0.24
72,0.3,Very Good,2,3,63.1,56.0,554,4.29,0.3,0.3
73,0.3,Premium,2,3,62.9,59.0,554,4.28,0.3,0.3
74,0.3,Premium,2,3,62.5,57.0,554,4.29,0.3,0.3
75,0.3,Good,2,3,63.7,57.0,554,4.28,0.3,0.3
76,0.26,Very Good,4,6,59.2,60.0,554,4.19,0.26,0.26
77,0.26,Very Good,5,6,59.9,58.0,554,4.15,0.26,0.26
78,0.26,Very Good,6,6,62.4,54.0,554,4.08,0.26,0.26
79,0.26,Very Good,6,6,62.8,60.0,554,4.01,0.26,0.26
80,0.26,Very Good,5,7,62.6,59.0,554,4.06,0.26,0.26
81,0.26,Very Good,5,7,63.4,59.0,554,4.0,0.26,0.26
82,0.26,Very Good,6,7,62.1,60.0,554,4.03,0.26,0.26
83,0.26,Ideal,5,6,62.9,58.0,554,4.02,0.26,0.26
84,0.38,Ideal,1,2,61.6,56.0,554,4.65,0.38,0.38
85,0.26,Good,5,7,57.9,60.0,554,4.22,0.26,0.26
86,0.24,Premium,3,7,62.3,59.0,554,3.95,0.24,0.24
87,0.24,Premium,2,7,61.2,58.0,554,4.01,0.24,0.24
88,0.24,Premium,2,7,60.8,59.0,554,4.02,0.24,0.24
89,0.24,Premium,2,6,60.7,58.0,554,4.07,0.24,0.24
90,0.32,Premium,1,3,62.9,58.0,554,4.35,0.32,0.32
91,0.7,Ideal,5,3,62.5,57.0,2757,5.7,0.7,0.7
92,0.86,Fair,5,2,55.1,69.0,2757,6.45,0.86,0.86
93,0.7,Ideal,3,4,61.6,56.0,2757,5.7,0.7,0.7
94,0.71,Very Good,5,4,62.4,57.0,2759,5.68,0.71,0.71
95,0.78,Very Good,3,2,63.8,56.0,2759,5.81,0.78,0.78
96,0.7,Good,5,4,57.5,58.0,2759,5.85,0.7,0.7
97,0.7,Good,4,5,59.4,62.0,2759,5.71,0.7,0.7
98,0.96,Fair,4,2,66.3,62.0,2759,6.27,0.96,0.96
